device,theta1,theta2
100,0.904212276605661,0.872283035357574
104,0.936014687163162,0.872029381079948
105,0.936014687163162,0.872029381079948
108,0.999999858332765,0.999999811087774
110,0.987041884037633,0.974083768299421
112,0.981029765958596,0.974706352780096
115,0.891026977655448,0.806471044879105
117,0.883786419209366,0.845048558461213
120,0.878340584503872,0.837787442749241
122,0.989409299465868,0.978818602434066
129,0.927004144752891,0.854008291125089
131,0.984974424679885,0.969948850068045
135,0.68950783597797,0.586010406800892
139,0.892521643598642,0.785043691095248
141,0.85539421398051,0.710788437784937
142,0.85539421398051,0.710788437784937
146,0.464021676306316,0.285362231165219
147,0.464021676306316,0.285362231165219
154,0.96049203830004,0.920984083153536
157,0.990615560047145,0.981231120919007
164,0.511564171613176,0.348752226600788
168,0.87574146980726,0.751482948249504
170,0.826104363167088,0.652437077481189
179,0.980867517820549,0.96173503714478
180,0.980867517820549,0.96173503714478
182,0.999999858332765,0.999999811087774
185,0.625615839798343,0.500821117820501
188,0.816947949447143,0.635459957101487
192,0.902777749636506,0.805555500671731
195,0.999999708591403,0.999999611439623
200,0.858208501151619,0.716417027374868
202,0.999999858332765,0.999999811087774
206,0.979935026919599,0.959870055185142
208,0.975511483474227,0.951022967982748
209,0.975511483474227,0.951022967982748
214,0.791361798236664,0.584663910767049
216,0.928640362150884,0.857280770429026
224,0.366274406839349,0.155032419309311
226,0.999999842697389,0.999999790239783
228,0.97839699389871,0.956793988578649
231,0.999999715976105,0.999999621062541
233,0.996922097363847,0.993844195343287
238,0.977389157166017,0.955232586588838
240,0.999999857563467,0.999999810032113
244,0.835829311957274,0.671658812615702
247,0.616458494956831,0.415812141507072
249,0.987454862031244,0.974909725113558
252,0.999999803912301,0.999999738549707
255,0.787129816936649,0.716173020431253
259,0.980364013655429,0.973818683696596
261,0.681442328251257,0.558618082171849
262,0.681442328251257,0.558618082171849
264,0.999999715976105,0.999999621062541
267,0.961461126663786,0.922922270629581
272,0.906197182387006,0.812394383777133
273,0.906197182387006,0.812394383777133
285,0.909249115361482,0.818710857915529
287,0.947034551198059,0.894069125022655
290,0.727256675313485,0.585453671450057
292,0.963107548388237,0.926215111952487
301,0.500469093653352,0.333958674171975
302,0.500469093653352,0.333958674171975
304,0.999999850847152,0.999999801114855
306,0.992774413524203,0.985548827886032
309,0.953357548125731,0.906715102987232
312,0.912888407650753,0.825776826441822
313,0.912888407650753,0.825776826441822
316,0.884728128574246,0.76945625918114
318,0.978430293180516,0.959621965935309
320,0.959246366160422,0.918492735933721
322,0.921778540414709,0.843557094509933
326,0.987578147293765,0.976237254563785
329,0.925674253883595,0.85134850941465
331,0.958558917727006,0.91711784881128
334,0.982175481466575,0.96435097453982
337,0.912403478301344,0.827681496573532
339,0.9723123159469,0.963083087493539
341,0.955985433632,0.937450182610479
344,0.92976691374019,0.859533841543155
349,0.877762405622042,0.755524834486189
353,0.891162956836612,0.854883935339471
358,0.379780416404297,0.173040533475279
362,0.691042292930315,0.588056384907897
366,0.993534402474537,0.987068805106697
368,0.977687452534394,0.957513348595748
369,0.977687452534394,0.957513348595748
374,0.828327582596306,0.65988440320311
380,0.937328545734488,0.916438060221736
384,0.695605803161811,0.594141065348309
388,0.999999834165327,0.999999778878489
394,0.87616731696679,0.753639908540374
400,0.981164618105212,0.966283758767114
402,0.972827138898469,0.94565428394177
405,0.949207491836013,0.898414990319149
412,0.882006917738457,0.764013932287435
415,0.990488297571522,0.980976596566463
416,0.990488297571522,0.980976596566463
420,0.914725471169749,0.829450949277085
424,0.889463929249547,0.852618571194676
428,0.988182084972002,0.976364170256092
434,0.999999803912301,0.999999738549707
437,0.756182526257149,0.674910010168186
441,0.999999715976105,0.999999621062541
444,0.250000891621379,1.17485024056144e-06
448,0.965793625323664,0.931587257471102
453,0.927149839352857,0.855281296779344
457,0.956545372064481,0.91309077112704
462,0.953622055047055,0.907244111106501
467,0.602624079705253,0.47016528480851
468,0.602624079705253,0.47016528480851
470,0.637638006312612,0.516850609815135
477,0.965480212823583,0.932852874134338
478,0.965480212823583,0.932852874134338
480,0.999999840013406,0.999999786684271
481,0.999999840013406,0.999999786684271
486,0.87858605676874,0.757172120916561
490,0.976761040133889,0.969014719198474
491,0.976761040133889,0.969014719198474
494,0.889507336604448,0.779014680954664
502,0.983418351615241,0.966836704949735
507,0.841034782147955,0.682069572453095
509,0.885833963798381,0.771667930133863
510,0.885833963798381,0.771667930133863
513,0.999999842697389,0.999999790239783
514,0.999999842697389,0.999999790239783
516,0.999999807192953,0.999999742892884
519,0.974303585983034,0.948607172980183
522,0.983573536144863,0.967147085310784
524,0.991550564265729,0.983117843584125
526,0.999999827039203,0.999999769363895
539,0.999999805926616,0.999999741192944
541,0.874564079037921,0.749128175049148
543,0.909670932157824,0.820915177802476
544,0.909670932157824,0.820915177802476
547,0.991620238667786,0.985283200488884
550,0.955669150739762,0.940892198453596
554,0.973613223253793,0.964817630997127
557,0.999999728951847,0.999999638359192
561,0.883656696498735,0.767313420584437
563,0.999999791388079,0.999999721097196
565,0.999999818575789,0.999999758018326
567,0.999999883020123,0.999999843999723
568,0.999999883020123,0.999999843999723
572,0.962702877953684,0.925405757170253
575,0.843575504249574,0.687151044862002
578,0.937939663640779,0.917252878844184
585,0.971005281038376,0.942010564709047
590,0.853068133279682,0.804090841899556
592,0.990551205401447,0.981623353769525
599,0.999999850356182,0.999999800474545
602,0.974401366177771,0.949777337859974
607,0.999999715976105,0.999999621062541
610,0.999999859672684,0.999999812872479
614,0.945989422433671,0.891978864619126
616,0.981772351419713,0.96691115795827
618,0.999999619414214,0.999999492551565
620,0.919570996342729,0.839141995551158
622,0.999999824188937,0.999999758105533
627,0.850153735087108,0.800204976880039
629,0.926241744818916,0.853276215688627
631,0.999999818575789,0.999999758018326
634,0.999999577354795,0.999999436466012
637,0.760744374776674,0.668612542547642
639,0.73015894277486,0.556092594032425
640,0.73015894277486,0.556092594032425
643,0.27390019227138,0.0318668821325454
654,0.973381455424127,0.946762912303896
660,0.99999985346913,0.999999804618557
664,0.996864938890967,0.993729877955186
668,0.984650281560394,0.969300563257483
670,0.97960405394411,0.966595717857015
672,0.999999859672684,0.999999812872479
677,0.990417778856431,0.980835567669626
679,0.846976634215958,0.693953294553357
681,0.864025536739074,0.818700714236674
683,0.914418842304031,0.828837720113367
685,0.878418307228734,0.837891075898261
690,0.828539832201323,0.659440278318114
697,0.913701322975017,0.827402649382729
700,0.481219964967355,0.308293283750025
701,0.481219964967355,0.308293283750025
703,0.556460532034306,0.408614037691709
705,0.999999728951847,0.999999638359192
710,0.976054848701031,0.952109729762437
716,0.944080983428186,0.888161969858491
72,0.894914525209337,0.790968822447996
720,0.979752347770827,0.959504696188041
723,0.988742759620118,0.984990345842016
725,0.879412568437636,0.758825138138899
726,0.879412568437636,0.758825138138899
728,0.403528511718237,0.204704665433372
730,0.730687745704578,0.640916993910508
732,0.847978746547856,0.695957499716785
734,0.999999708591403,0.999999611439623
735,0.999999708591403,0.999999611439623
738,0.892886887517812,0.785773788485825
740,0.999999824188937,0.999999758105533
741,0.999999824188937,0.999999758105533
746,0.924268336327172,0.850073224327425
749,0.844137542132677,0.792183383133307
751,0.991299845592673,0.982599691548802
752,0.991299845592673,0.982599691548802
755,0.985757608392967,0.97251427214035
759,0.999999767536769,0.999999689396708
76,0.999999880557106,0.999999840742516
760,0.999999767536769,0.999999689396708
770,0.816107878692345,0.632215766940222
773,0.999999804745442,0.999999739659836
777,0.974841817836947,0.949683637975487
78,0.884534278429525,0.846045694524356
80,0.95694162812511,0.913883290948979
88,0.999999803912301,0.999999738549707
90,0.602697990885546,0.470263987804632
99,0.904212276605661,0.872283035357574
